,Link,Nom,Detalls,Colors,Descompte
76,https://www.nike.com/ca/t/galatasaray-older-pre-match-short-sleeve-football-top-MmTc9L/CW5130-804,Galatasaray,Older Kids' Pre-Match Short-Sleeve Football Top,1 Colour,10% off
77,https://www.nike.com/ca/t/sportswear-1-4-zip-fleece-metallic-sweatshirt-LXrk2p/DR8918-510,Nike Sportswear,Women's 1/4-Zip Fleece Metallic Sweatshirt,2 Colours,18% off
78,https://www.nike.com/ca/t/infinity-react-3-road-running-shoes-XvPvlG/DD3024-301,Nike Infinity React 3,Women's Road Running Shoes,1 Colour,39% off
79,https://www.nike.com/ca/t/ryz-365-shoes-jpv5d3/BQ4153-002,Nike RYZ 365,Women's Shoes,1 Colour,39% off
80,https://www.nike.com/ca/t/sportswear-hybrid-fleece-hoodie-rfPgMZ/DO7228-494,Nike Sportswear Hybrid,Full-Zip Fleece Hoodie,2 Colours,29% off
81,https://www.nike.com/ca/t/air-max-dawn-shoes-gp1Rl6/DC9319-103,Nike Air Max Dawn,Baby/Toddler Shoes,2 Colours,17% off
82,https://www.nike.com/ca/t/paris-saint-germain-strike-fourth-dri-fit-football-drill-top-rkjQDN/DH7685-013,Paris Saint-Germain Strike Fourth,Men's Nike Dri-FIT Football Drill Top,1 Colour,19% off
83,https://www.nike.com/ca/t/croatia-2020-stadium-away-football-shirt-327bnh/CD0892-060,Croatia 2020 Stadium Away,Women's Football Shirt,1 Colour,34% off
84,https://www.nike.com/ca/t/tottenham-hotspur-2021-22-stadium-home-older-football-shirt-WSr6rT/CV8246-101,Tottenham Hotspur 2021/22 Stadium Home,Older Kids' Football Shirt,1 Colour,18% off
85,https://www.nike.com/ca/t/sportswear-woven-mid-rise-air-max-day-trousers-sHdFKD/DM6086-010,Nike Sportswear,Women's Woven Mid-Rise Air Max Day Trousers,1 Colour,24% off
86,https://www.nike.com/ca/t/sportswear-pack-older-woven-trousers-8ckVxQ/DM8526-494,Nike Sportswear Kids Pack,Older Kids' Woven Trousers,3 Colours,18% off
87,https://www.nike.com/ca/t/vaporfly-next-2-road-racing-shoes-dxSLFw/CU4111-002,Nike Vaporfly NEXT% 2,Men's Road Racing Shoes,3 Colours,39% off
88,https://www.nike.com/ca/t/blazer-mid-77-jumbo-shoes-Tt0nDt/DQ1471-600,Nike Blazer Mid '77 Jumbo,Women's Shoes,1 Colour,29% off
89,https://www.nike.com/ca/t/sportswear-fleece-sweatshirt-m7gC5G/DO7230-494,Nike Sportswear,Fleece Sweatshirt,2 Colours,18% off
90,https://www.nike.com/ca/t/jordan-23-engineered-washed-fleece-hoodie-Q3jNb7/CV2766-731,Jordan 23 Engineered,Men's Washed Fleece Hoodie,1 Colour,29% off
91,https://www.nike.com/ca/t/nikecourt-zoom-nxt-hard-court-tennis-shoes-s7vtzg/DH0219-400,NikeCourt Zoom NXT,Men's Hard Court Tennis Shoes,1 Colour,39% off
92,https://www.nike.com/ca/t/react-vision-older-shoes-gWTCN3/CD6888-011,Nike React Vision,Older Kids' Shoe,1 Colour,29% off
93,https://www.nike.com/ca/t/atletico-madrid-strike-dri-fit-knit-football-shorts-0vH5qk/DB6924-350,Atlético Madrid Strike,Men's Nike Dri-FIT Knit Football Pants,1 Colour,19% off
94,https://www.nike.com/ca/t/sportswear-overshirt-Q9HDcq/DM5283-017,Nike Sportswear,Men's Overshirt,1 Colour,19% off
95,https://www.nike.com/ca/t/air-max-90-older-shoe-CnbKm0/DV3032-100,Nike Air Max 90,Older Kids' Shoes,1 Colour,19% off
96,https://www.nike.com/ca/t/yoga-high-waisted-7-8-gradient-dye-leggings-lVdKsC/DM7015-665,Nike Yoga,Women's High-Waisted 7/8 Gradient-Dye Leggings,2 Colours,21% off
97,https://www.nike.com/ca/t/sportswear-sports-utility-fleece-gilet-NFbPNC/DQ5105-133,Nike Sportswear Therma-FIT,Men's Sports Utility Fleece Gilet,5 Colours,18% off
98,https://www.nike.com/ca/t/one-luxe-icon-clash-mid-rise-pocket-training-leggings-VpTLfQ/DM7623-817,Nike One Luxe Icon Clash,Women's Mid-Rise Pocket Training Leggings,2 Colours,29% off
99,https://www.nike.com/ca/t/inter-milan-2021-22-stadium-third-dri-fit-football-shirt-0CRM85/DB6225-011,Inter Milan 2021/22 Stadium Third,Women's Nike Dri-FIT Football Shirt,1 Colour,29% off
100,https://www.nike.com/ca/t/denver-nuggets-city-edition-dri-fit-nba-swingman-jersey-VlMdCB/DB4025-419,Denver Nuggets City Edition,Nike Dri-FIT NBA Swingman Jersey,1 Colour,19% off
101,https://www.nike.com/ca/t/blazer-low-77-shoe-S3k4n9/DC4769-101,Nike Blazer Low '77,Women's Shoe,1 Colour,29% off
102,https://www.nike.com/ca/t/crater-impact-shoes-T966CM/CW2386-103,Nike Crater Impact,Women's Shoes,2 Colours,29% off
103,https://www.nike.com/ca/t/air-max-dawn-shoe-g4NRD7/DQ3991-002,Nike Air Max Dawn,Men's Shoes,1 Colour,39% off
104,https://www.nike.com/ca/t/netherlands-2020-stadium-home-older-football-shirt-1xpNks/CD1044-819,Netherlands 2020 Stadium Home,Older Kids' Football Shirt,1 Colour,29% off
105,https://www.nike.com/ca/t/sportswear-joggers-Fb2vDv/DM4673-101,Nike Sportswear,Men's Joggers,2 Colours,17% off
106,https://www.nike.com/ca/t/sportswear-collection-essentials-oversized-fleece-crew-B4v8Nw/DJ7667-063,Nike Sportswear Collection Essentials,Women's Oversized Fleece Crew (Plus Size),1 Colour,10% off
107,https://www.nike.com/ca/t/sb-lightweight-skate-jacket-vRmvPf/DQ6334-410,Nike SB,Lightweight Skate Jacket,1 Colour,29% off
108,https://www.nike.com/ca/t/air-max-motif-older-shoe-J0DP1F/DH9388-101,Nike Air Max Motif,Older Kids' Shoe,4 Colours,39% off
109,https://www.nike.com/ca/t/dri-fit-heritage-10cm-knit-brief-lined-running-shorts-WV5X3P/DM4739-412,Nike Dri-FIT Heritage,Men's 10cm (approx.) Knit Brief-Lined Running Shorts,1 Colour,10% off
110,https://www.nike.com/ca/t/paris-saint-germain-2021-22-stadium-third-dri-fit-football-shirt-Lf57mv/DB5900-011,Paris Saint-Germain 2021/22 Stadium Third,Men's Nike Dri-FIT Football Shirt,1 Colour,24% off
111,https://www.nike.com/ca/t/sportswear-tech-pack-woven-trousers-fwtPp5/AV4268-605,Nike Sportswear Tech Pack,Women's Woven Trousers,1 Colour,29% off
112,https://www.nike.com/ca/t/sportswear-fleece-pullover-hoodie-2hM8BW/DM5624-709,Nike Sportswear,Men's Fleece Pullover Hoodie,2 Colours,17% off
113,https://www.nike.com/ca/t/jordan-air-200e-shoes-rvXhLp/DC9836-001,Jordan Air 200E,Men's Shoes,2 Colours,39% off
114,https://www.nike.com/ca/t/jordan-essentials-utility-trousers-RCZgJX/DM5034-040,Jordan Essentials,Women's Utility Trousers,2 Colours,34% off
115,https://www.nike.com/ca/t/air-zoom-victory-tour-2-golf-shoes-BnZLxB/DM9930-141,Nike Air Zoom Victory Tour 2,Golf Shoes,1 Colour,48% off
116,https://www.nike.com/ca/t/nikecourt-zoom-nxt-clay-court-tennis-shoes-pGpVwS/DH2495-010,NikeCourt Zoom NXT,Men's Clay Court Tennis Shoes,1 Colour,39% off
117,https://www.nike.com/ca/t/sportswear-air-max-joggers-08g1r7/DO7235-010,Nike Sportswear Air Max,Men's Joggers,1 Colour,29% off
118,https://www.nike.com/ca/t/jordan-new-classics-2-trench-coat-bF3CBJ/DJ2712-540,Jordan New Classics 2.0,Women's Trench Coat,1 Colour,39% off
119,https://www.nike.com/ca/t/liverpool-fc-strike-dri-fit-knit-football-tracksuit-bottoms-Bx2ZRT/DH6574-064,Liverpool F.C. Strike,Men's Nike Dri-FIT Knit Football Tracksuit Bottoms,1 Colour,18% off
120,https://www.nike.com/ca/t/jordan-dri-fit-air-fleece-trousers-mZHZ1l/DJ0873-091,Jordan Dri-FIT Air,Men's Fleece Trousers,2 Colours,29% off
121,https://www.nike.com/ca/t/sportswear-tech-pack-gilet-9crGh0/AR3047-891,Nike Sportswear Tech Pack,Women's Gilet,1 Colour,30% off
122,https://www.nike.com/ca/t/sportswear-tech-pack-hooded-jacket-Hw9X0C/BV4489-072,Nike Sportswear Tech Pack,Men's Hooded Full-Zip Jacket,1 Colour,19% off
123,https://www.nike.com/ca/t/retro-fly-basketball-trousers-L2RCLX/DH7263-010,Nike Retro Fly,Women's Basketball Trousers,1 Colour,24% off
124,https://www.nike.com/ca/t/chelsea-fc-2021-22-stadium-home-older-football-shirt-Gq6805/CV8220-409,Chelsea F.C. 2021/22 Stadium Home,Older Kids' Football Shirt,1 Colour,18% off
125,https://www.nike.com/ca/t/sportswear-essential-fleece-pullover-hoodie-dqBZNN/BV4124-273,Nike Sportswear Essential,Women's Fleece Pullover Hoodie,3 Colours,10% off
126,https://www.nike.com/ca/t/sccorinthians-2021-22-stadium-away-football-shirt-Jx5ncz/CV7910-010,S.C.Corinthians 2021/22 Stadium Away,Men's Football Shirt,1 Colour,19% off
127,https://www.nike.com/ca/t/sportswear-essential-collection-washed-fleece-trousers-h0053K/DD5630-236,Nike Sportswear Essential Collection,Women's Washed Fleece Trousers,1 Colour,21% off
128,https://www.nike.com/ca/t/sportswear-style-essentials-unlined-cropped-trousers-Gk8KtT/DD7032-010,Nike Sportswear Style Essentials,Men's Unlined Cropped Trousers,1 Colour,29% off
129,https://www.nike.com/ca/t/air-zoom-vomero-16-road-running-shoes-Brrfkj/DA7698-006,Nike Air Zoom Vomero 16,Women's Road Running Shoes,2 Colours,39% off
130,https://www.nike.com/ca/t/sportswear-collection-essentials-easy-fleece-hoodie-Mt8sWx/DJ6939-610,Nike Sportswear Collection Essentials,Women's Easy Fleece Hoodie,2 Colours,18% off
131,https://www.nike.com/ca/t/jordan-flight-heritage-jacket-185BZc/DJ0238-010,Jordan Flight Heritage,Men's Jacket,1 Colour,38% off
132,https://www.nike.com/ca/t/mercurial-superfly-8-club-mg-multi-ground-football-boot-7ZPVpP/CV0852-004,Nike Mercurial Superfly 8 Club MG,Multi-Ground Football Boot,1 Colour,22% off
133,https://www.nike.com/ca/t/air-zoom-pegasus-39-road-running-shoes-rl1bSG/DX8943-001,Nike Air Zoom Pegasus 39,Women's Road Running Shoes,1 Colour,39% off
134,https://www.nike.com/ca/t/liverpool-fc-2021-22-stadium-goalkeeper-older-football-jersey-Frjh8F/DB2567-740,Liverpool F.C. 2021/22 Stadium Goalkeeper,Older Kids' Football Shirt,1 Colour,29% off
135,https://www.nike.com/ca/t/sportswear-essentials-plush-high-rise-joggers-cQ3cq2/DD5110-273,Nike Sportswear Essentials,Women's Plush High-Rise Joggers,2 Colours,18% off
136,https://www.nike.com/ca/t/dri-fit-lil-penny-basketball-jersey-krgsKC/DA5991-480,Nike Dri-FIT Lil' Penny,Men's Premium Basketball Jersey,1 Colour,29% off
137,https://www.nike.com/ca/t/sportswear-washed-jersey-hoodie-ZLwbcW/DM6716-126,Nike Sportswear,Washed Jersey Hoodie,1 Colour,18% off
138,https://www.nike.com/ca/t/sportswear-air-max-fleece-pullover-hoodie-fmQ24X/DV2435-010,Nike Sportswear Air Max,Men's Fleece Pullover Hoodie,1 Colour,14% off
139,https://www.nike.com/ca/t/paris-saint-germain-woven-football-jacket-Fj8h6k/DD6347-658,Paris Saint-Germain,Women's Woven Football Jacket,1 Colour,29% off
140,https://www.nike.com/ca/t/sportswear-trousers-XqJVGd/DM4645-010,Nike Sportswear,Women's Trousers,1 Colour,10% off
141,https://www.nike.com/ca/t/tottenham-hotspur-2021-22-third-kit-bd0Dpp/DB6266-529,Tottenham Hotspur 2021/22 Third,Baby & Toddler Kit,1 Colour,14% off
142,https://www.nike.com/ca/t/sportswear-fleece-tie-dye-trousers-5KNWLH/DM6363-029,Nike Sportswear,Women's Fleece Tie-Dye Trousers,2 Colours,21% off
143,https://www.nike.com/ca/t/retro-run-running-jacket-4rZV3B/DM7781-550,Nike Retro Run,Women's Running Jacket,1 Colour,29% off
144,https://www.nike.com/ca/t/yoga-luxe-high-waisted-7-8-colour-block-leggings-P8Z7q9/DM6996-010,Nike Yoga Luxe,Women's High-Waisted 7/8 Colour-Block Leggings,1 Colour,29% off
145,https://www.nike.com/ca/t/sportswear-swoosh-league-french-terry-pullover-hoodie-Fjpmjn/DM5462-410,Nike Sportswear Swoosh League,Men's French Terry Pullover Hoodie,4 Colours,34% off
146,https://www.nike.com/ca/t/zoomx-dragoy-bowerman-track-club-athletics-distance-spikes-PvdNfK/DN4860-600,Nike ZoomX Dragonfly Bowerman Track Club,Athletics Distance Spikes,1 Colour,34% off
147,https://www.nike.com/ca/t/paris-saint-germain-strike-fourth-dri-fit-football-tracksuit-gNNwPf/DR2102-013,Paris Saint-Germain Strike Fourth,Men's Nike Dri-FIT Football Tracksuit,1 Colour,39% off
148,https://www.nike.com/ca/t/gyakusou-woven-shorts-d9Tx9n/CU2649-477,Nike x Gyakusou,Woven Shorts,2 Colours,39% off
149,https://www.nike.com/ca/t/air-woven-jacket-P8j0Sn/BV5163-743,Nike Air,Woven Jacket,1 Colour,30% off
150,https://www.nike.com/ca/t/jordan-23-engineered-jacket-S6TKxJ/DQ8073-252,Jordan 23 Engineered,Men's Jacket,1 Colour,39% off
151,https://www.nike.com/ca/t/sportswear-essential-windrunner-woven-jacket-sDQjHd/DN5010-010,Nike Sportswear Essential Windrunner,Women's Woven Jacket (Plus size),1 Colour,29% off
152,https://www.nike.com/ca/t/fc-barcelona-2021-22-stadium-home-football-shirt-mdlHVk/CV8182-428,F.C. Barcelona 2021/22 Stadium Home,Women's Football Shirt,1 Colour,24% off
153,https://www.nike.com/ca/t/fc-barcelona-dri-fit-pre-match-football-top-CClZLm/DH7734-837,F.C. Barcelona,Women's Nike Dri-FIT Pre-Match Football Top,1 Colour,17% off
154,https://www.nike.com/ca/t/tottenham-hotspur-strike-older-football-pants-2qP6BD/CW2170-429,Tottenham Hotspur Strike,Older Kids' Football Pants,1 Colour,14% off
155,https://www.nike.com/ca/t/dri-fit-run-division-rise-365-short-sleeve-running-top-rhmdbZ/DM4636-017,Nike Dri-FIT Run Division Rise 365,Men's Short-Sleeve Running Top,3 Colours,10% off
156,https://www.nike.com/ca/t/sportswear-repel-tech-pack-packable-oversized-jacket-M7xcqk/DM6506-087,Nike Sportswear Repel Tech Pack,Women's Packable Oversized Jacket,1 Colour,39% off
157,https://www.nike.com/ca/t/sportswear-dri-fit-tech-pack-high-rise-woven-trousers-b1TRz7/DM6170-060,Nike Sportswear Dri-FIT Tech Pack,Women's High-Rise Woven Trousers,1 Colour,49% off
158,https://www.nike.com/ca/t/sportswear-tech-pack-trousers-0kdM86/CZ9791-370,Nike Sportswear Tech Pack,Women's Trousers,1 Colour,19% off
159,https://www.nike.com/ca/t/paris-saint-germain-statement-fleece-pants-5lV2z6/CZ0805-010,Paris Saint-Germain,Men's Statement Fleece Pants,1 Colour,29% off
160,https://www.nike.com/ca/t/esc-hoodie-w9zPKg/CW3733-414,Nike ESC,Men's Hoodie,1 Colour,14% off
